terrain,position,pos_key,dist_mm,lights,lighting,exposure_ms,phase_deg,mean_dn,std_dn,frac_dark,frac_sat,coverage,med_err_mm,p75_err_mm,p95_err_mm,n_valid
Terrain11_FreshCrater,PosA_1500_Loff,PosA,1500,Loff,Sun_350,256,10.12,751.4,859.95,0.0,0.0172,0.674,29.32,58.49,357.13,984659
Terrain11_FreshCrater,PosA_1500_Loff,PosA,1500,Loff,Sun_350,32,10.12,100.41,143.64,0.3917,0.0,0.3131,29.2,54.35,506.94,457365
Terrain11_FreshCrater,PosA_1500_Loff,PosA,1500,Loff,Sun_350,512,10.12,1300.93,1106.53,0.0,0.0669,0.6234,23.6,40.31,196.9,910646
Terrain11_FreshCrater,PosA_1500_Loff,PosA,1500,Loff,Sun_350,64,10.12,200.87,286.66,0.1969,0.0,0.3475,29.25,51.49,432.05,507670
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,NoSun,1024,,46.5,55.02,0.6148,0.0,0.3974,21.63,75.32,377.56,580510
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,NoSun,128,,6.21,6.94,0.9987,0.0,0.0882,,,,128858
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,NoSun,2048,,92.84,110.3,0.4392,0.0,0.4915,17.86,56.52,302.81,718008
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,NoSun,256,,11.92,13.75,0.9489,0.0,0.1692,,,,247137
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,NoSun,32,,1.93,1.93,1.0,0.0,0.0241,,,,35210
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,NoSun,4096,,185.7,220.92,0.3075,0.0,0.566,14.71,41.45,243.79,826786
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,NoSun,512,,23.42,27.46,0.805,0.0,0.2763,29.32,121.57,399.11,403577
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,NoSun,64,,3.35,3.56,1.0,0.0,0.0496,,,,72433
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,NoSun,8192,,371.09,440.56,0.1811,0.0,0.6233,13.76,36.6,183.46,910559
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,Sun_180,1024,174.79,1971.61,1234.52,0.0,0.1541,0.3991,19.1,30.83,105.98,582975
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,Sun_180,128,174.79,309.68,380.13,0.0,0.0026,0.4598,19.87,31.88,109.99,671741
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,Sun_180,2048,174.79,2912.59,1117.69,0.0,0.379,0.3488,20.82,36.9,305.64,509509
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,Sun_180,256,174.79,605.24,612.45,0.0,0.0085,0.462,19.63,31.76,109.13,674843
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,Sun_180,32,174.79,79.73,125.31,0.419,0.0002,0.4493,20.62,33.02,108.81,656298
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,Sun_180,512,174.79,1144.31,960.99,0.0,0.0365,0.4378,18.61,29.89,86.46,639598
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,Sun_180,64,174.79,157.74,223.95,0.1051,0.0004,0.4545,20.03,32.04,106.53,663908
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,Sun_270,1024,91.35,813.9,933.73,0.0,0.0217,0.7145,9.25,23.42,77.64,1043733
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,Sun_270,128,91.35,106.79,148.15,0.467,0.0,0.6673,9.34,24.58,100.89,974800
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,Sun_270,2048,91.35,1414.58,1335.36,0.0,0.1116,0.739,8.65,22.47,69.09,1079524
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,Sun_270,256,91.35,213.56,293.05,0.2459,0.0008,0.6821,9.32,24.14,90.65,996459
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,Sun_270,32,91.35,26.79,36.83,0.7902,0.0,0.6212,8.87,24.3,91.89,907535
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,Sun_270,512,91.35,422.2,536.02,0.0571,0.003,0.6933,9.33,24.01,90.62,1012824
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,Sun_270,64,91.35,53.38,73.97,0.5878,0.0,0.6499,9.24,24.81,99.11,949440
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,Sun_30,1024,24.01,2300.13,1422.48,0.0,0.2528,0.6086,16.3,30.27,108.29,889111
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,Sun_30,128,24.01,383.7,415.98,0.0666,0.0,0.7693,20.17,42.8,267.83,1123800
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,Sun_30,2048,24.01,3042.47,1331.99,0.0,0.5335,0.5272,25.91,56.19,232.75,770087
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,Sun_30,256,24.01,750.43,735.48,0.0009,0.0178,0.762,19.21,38.66,252.95,1113221
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,Sun_30,32,24.01,95.86,104.63,0.333,0.0,0.7516,20.45,43.25,261.19,1097964
